State,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100세이상
서울특별시,761314,934205,1442701,1620974,1678172,1570037,1076270,602541,207716,31211,5475
부산광역시,267087,325210,455199,483516,558328,610400,454451,246583,85833,10337,1585
대구광역시,207036,274127,329927,333768,431822,422215,270182,150535,57934,6420,591
인천광역시,269510,311493,406622,450143,512174,502587,274298,147609,59356,8523,754
광주광역시,140957,187604,201402,213395,255953,222914,132868,79294,30370,4102,355
대전광역시,142076,175916,212796,222879,264265,239111,143650,77775,31484,4110,308
울산광역시,115921,132712,158704,177144,206835,205095,108980,47361,17214,2200,138
세종시,34911,27125,26523,45951,44188,29440,18159,10793,5219,690,49
경기도,1251110,1439515,1687250,1955946,2312530,2025958,1110220,640149,255340,35457,3305
강원도,121381,163401,184869,185407,246372,271727,182332,132782,53788,8091,656
충청북도,141545,171795,198134,212590,259637,264834,170236,114117,51888,6378,471
충청남도,197206,222359,246298,294535,335721,324122,225825,158809,81086,10028,738
전라북도,157372,207621,219336,225651,295584,299275,218693,155956,75319,9287,697
전라남도,156736,199894,206423,219492,286240,314488,231176,189990,87370,11346,759
경상북도,222272,264658,308303,339593,421947,460007,336251,225768,107402,13386,811
경상남도,315476,367662,397368,466247,574855,561503,360856,218363,99237,11665,639
제주도,64258,75741,76573,86909,112430,100948,61974,40694,18738,3101,231
